data,casosconfirmados,chuva,temperaturamedia,temperaturamininima,temperaturamaxima
20140301,7555,98.6,24.7,21.3,27.1
20140401,20428,61.9,22.9,18.3,26.4
20140501,10484,22.9,20.1,15.1,23.2
20140601,1342,9.2,20.1,16.2,22.8
20140701,149,28.2,18.8,14.1,23.4
20140801,55,12.2,20.6,13.1,24.7
20140901,40,69.2,23,18.6,26.8
20141001,40,15.6,24.7,17.2,30
20141101,57,154.8,25,22.1,28.3
20141201,37,232.8,24.9,21.3,27.8
